cik,name,event_date,form,accession,route,confirm_detail
0000885590,Bausch Health Companies Inc.,2025-07-29,SC TO-C,0001193125-25-167146,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0000885590,Bausch Health Companies Inc.,2025-07-30,SC TO-C,0001193125-25-169369,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0000885590,Bausch Health Companies Inc.,2025-07-31,SC TO-C,0001193125-25-170281,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0000885590,Bausch Health Companies Inc.,2025-08-12,SC TO-T,0001193125-25-178491,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0000894871,"Arena Group Holdings, Inc.",2023-11-07,8-K,0001493152-23-039749,A,8k-text:merger:1;target:2;acquirer:2;defence:1;nonmerger:1;via-primary
0000894871,"Arena Group Holdings, Inc.",2023-12-05,8-K,0001493152-23-043697,A,8k-text:merger:1;target:1;acquirer:1;via-primary
0000894871,"Arena Group Holdings, Inc.",2024-02-14,8-K,0001493152-24-006754,A,8k-text:merger:1;via-primary
0000907654,"ARCA biopharma, Inc.",2024-07-09,8-K,0001213900-24-060156,A,8k-text:merger:3;via-primary
0000908937,SIRIUS XM HOLDINGS INC.,2023-12-13,8-K,0000930413-23-002602,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:2;via-primary
0000908937,SIRIUS XM HOLDINGS INC.,2023-12-13,8-K,0000930413-23-002604,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:2;via-primary
0000908937,SIRIUS XM HOLDINGS INC.,2024-06-17,8-K,0001104659-24-071939,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0000910073,"NEW YORK COMMUNITY BANCORP, INC.",2022-04-27,8-K,0001193125-22-121504,A,8k-text:merger:3;via-primary
0000910073,"NEW YORK COMMUNITY BANCORP, INC.",2022-10-28,8-K,0001564590-22-035528,A,8k-text:merger:3;via-primary
0000910073,"NEW YORK COMMUNITY BANCORP, INC.",2025-08-22,8-K,0000910073-25-000121,A,8k-text:merger:2;via-primary
0000910267,TITAN PHARMACEUTICALS INC,2025-10-01,8-K,0001829126-25-007823,A,8k-text:merger:1;via-primary
0000912463,GUESS INC,2026-01-23,8-K,0001193125-26-020386,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:3;via-primary
0000912728,FORWARD AIR CORP,2025-05-01,8-K,0001628280-25-021615,A,8k-text:merger:2;via-primary
0000914712,"Steel Connect, Inc.",2024-09-17,SC TO-C,0000921895-24-002141,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0000915840,BEAZER HOMES USA INC,2022-11-14,8-K,0001193125-22-284699,A,8k-text:merger:1;target:1;acquirer:1;defence:1;via-primary
0000915840,BEAZER HOMES USA INC,2025-11-13,8-K,0000915840-25-000074,A,8k-text:merger:1;target:1;acquirer:1;defence:1;via-primary
0000919864,Finward Bancorp,2022-01-31,8-K,0001437749-22-001926,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0000920112,HEARTLAND FINANCIAL USA INC,2024-04-29,8-K,0001140361-24-022730,A,8k-text:merger:4;via-primary
0000920112,HEARTLAND FINANCIAL USA INC,2025-02-03,8-K,0001193125-25-018916,A,8k-text:merger:3;via-primary
0000924901,"Veris Residential, Inc.",2026-02-23,8-K,0001104659-26-018349,A,8k-text:merger:4;target:1;acquirer:1;nonmerger:2;via-primary
0000924901,"Veris Residential, Inc.",2026-05-27,8-K,0001104659-26-066981,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:2;via-primary
0000926282,"ADTRAN Holdings, Inc.",2022-07-08,8-K,0001193125-22-190213,A,8k-text:merger:1;target:1;acquirer:2;via-primary
0000929351,LIONS GATE ENTERTAINMENT CORP /CN/,2023-12-26,8-K,0001193125-23-303074,A,8k-text:merger:1;target:1;acquirer:1;defence:1;via-primary
0000929351,LIONS GATE ENTERTAINMENT CORP /CN/,2024-04-12,8-K,0001193125-24-093920,A,8k-text:merger:1;via-primary
0000937556,MASIMO CORP,2022-02-15,8-K,0000937556-22-000026,A,8k-text:merger:3;via-primary
0000944809,"OPKO HEALTH, INC.",2022-01-18,8-K,0000944809-22-000002,A,8k-text:merger:3;via-primary
0001004724,"REGIONAL HEALTH PROPERTIES, INC",2025-01-10,8-K,0001493152-25-001706,A,8k-text:merger:3;target:1;acquirer:2;nonmerger:1;via-primary
0001004724,"REGIONAL HEALTH PROPERTIES, INC",2025-04-18,8-K,0001641172-25-005323,A,8k-text:merger:3;target:1;acquirer:2;nonmerger:1;via-primary
0001004724,"REGIONAL HEALTH PROPERTIES, INC",2025-06-23,8-K,0001641172-25-015990,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001004989,"SPAR Group, Inc.",2024-09-03,8-K,0001437749-24-028210,A,8k-text:merger:3;via-primary
0001007587,KVH INDUSTRIES INC \DE\,2022-08-19,8-K,0001104659-22-092784,A,8k-text:merger:2;target:1;acquirer:1;defence:3;via-primary
0001009891,AIR INDUSTRIES GROUP,2026-06-12,8-K,0001213900-26-068306,A,8k-text:merger:3;via-primary
0001009891,AIR INDUSTRIES GROUP,2026-08-03,8-K,0001213900-26-084279,A,8k-text:merger:3;via-primary
0001018399,ENTERPRISE BANCORP INC /MA/,2025-07-01,8-K,0001018399-25-000082,A,8k-text:merger:3;via-primary
0001022505,CIPHERLOC Corp,2021-09-17,8-K,0001493152-21-022974,A,8k-text:merger:3;via-primary
0001022505,CIPHERLOC Corp,2021-09-30,8-K,0001493152-21-024153,A,8k-text:merger:3;via-primary
0001023024,ANI PHARMACEUTICALS INC,2021-11-26,8-K,0001104659-21-143748,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:2;via-primary
0001023024,ANI PHARMACEUTICALS INC,2024-06-24,8-K,0001023024-24-000070,A,8k-text:merger:3;target:1;acquirer:1;defence:1;via-primary
0001023994,SAFE & GREEN HOLDINGS CORP.,2025-02-03,8-K,0001213900-25-009104,A,8k-text:merger:3;via-primary
0001029125,"Panbela Therapeutics, Inc.",2023-11-03,8-K,0001437749-23-030241,A,8k-text:merger:1;via-primary
0001029125,"Panbela Therapeutics, Inc.",2023-12-21,8-K,0001437749-23-035037,A,8k-text:merger:1;via-primary
0001037390,"INDUS REALTY TRUST, INC.",2021-01-04,8-K,0001037390-21-000003,A,8k-text:merger:3;target:1;acquirer:2;via-primary
0001037390,"INDUS REALTY TRUST, INC.",2023-02-22,8-K,0001104659-23-024059,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001042893,DRIL-QUIP INC,2024-10-15,8-K,0001193125-24-237602,A,8k-text:merger:3;via-primary
0001046102,RITCHIE BROS AUCTIONEERS INC,2022-11-07,8-K,0001104659-22-115108,A,8k-text:merger:4;via-primary
0001046102,RITCHIE BROS AUCTIONEERS INC,2023-03-21,8-K,0001104659-23-034673,A,8k-text:merger:3;target:1;acquirer:2;nonmerger:4;via-primary
0001056285,"KIRKLAND'S, INC",2026-04-02,8-K,0001437749-26-011128,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:1;via-primary
0001057060,MARINEMAX INC,2026-08-10,8-K,0001193125-26-341302,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001057083,PC TEL INC,2023-10-16,8-K,0001193125-23-256549,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001058307,NextPlat Corp,2024-04-17,8-K,0001437749-24-012328,A,8k-text:merger:3;via-primary
0001068689,"Data443 Risk Mitigation, Inc.",2026-07-20,8-K,0001493152-26-033828,A,8k-text:merger:1;via-primary
0001069394,FLEXIBLE SOLUTIONS INTERNATIONAL INC,2022-09-30,8-K,0001493152-22-027306,A,8k-text:merger:3;via-primary
0001070050,AppTech Payments Corp.,2022-04-21,8-K,0001575705-22-000272,A,8k-text:merger:3;via-primary
0001075736,"Crexendo, Inc.",2021-03-08,8-K,0001654954-21-002446,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001080014,"Innoviva, Inc.",2022-05-24,SC TO-C,0001140361-22-020322,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001080014,"Innoviva, Inc.",2022-05-24,SC TO-C,0001140361-22-020323,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001080014,"Innoviva, Inc.",2022-06-07,SC TO-T,0001140361-22-022095,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001080014,"Innoviva, Inc.",2022-07-11,SC TO-C,0001140361-22-025703,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001080014,"Innoviva, Inc.",2022-07-25,SC TO-T,0001193125-22-200490,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001083301,TERAWULF INC.,2021-08-11,8-K,0001437749-21-019501,A,8k-text:merger:3;via-primary
0001089815,"U.S. NeuroSurgical Holdings, Inc.",2021-10-06,8-K,0001140361-21-033882,A,8k-text:merger:1;via-primary
0001095651,Safehold Inc.,2023-04-04,8-K,0001104659-23-041210,A,8k-text:merger:3;target:1;acquirer:1;defence:1;nonmerger:6;via-primary
0001098146,PATRIOT NATIONAL BANCORP INC,2022-02-03,8-K,0001437749-22-002391,A,8k-text:merger:3;via-primary
0001098146,PATRIOT NATIONAL BANCORP INC,2022-03-01,8-K,0001437749-22-004893,A,8k-text:merger:3;via-primary
0001100397,"Ayala Pharmaceuticals, Inc.",2022-10-19,8-K,0001493152-22-028888,A,8k-text:merger:3;target:1;acquirer:2;via-primary
0001100397,"Ayala Pharmaceuticals, Inc.",2023-01-25,8-K,0001493152-23-002462,A,8k-text:merger:3;target:2;acquirer:2;via-primary
0001100397,"Ayala Pharmaceuticals, Inc.",2023-10-20,8-K,0001493152-23-037852,A,8k-text:merger:3;via-primary
0001103021,BIODELIVERY SCIENCES INTERNATIONAL INC,2022-02-14,8-K,0001103021-22-000035,A,8k-text:merger:4;via-primary
0001108426,TXNM ENERGY INC,2022-01-03,8-K,0001108426-22-000003,A,8k-text:merger:3;via-primary
0001108426,TXNM ENERGY INC,2023-04-12,8-K,0001108426-23-000016,A,8k-text:merger:3;via-primary
0001108426,TXNM ENERGY INC,2023-06-20,8-K,0001108426-23-000037,A,8k-text:merger:3;via-primary
0001108426,TXNM ENERGY INC,2026-07-20,8-K,0001108426-26-000042,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:1;via-primary
0001110611,ON24 INC.,2025-12-30,8-K,0001193125-25-337276,A,8k-text:merger:3;target:2;acquirer:2;via-primary
0001113256,"MERITOR, INC.",2022-05-23,8-K,0001206774-22-001434,A,8k-text:merger:1;target:2;acquirer:1;via-primary
0001117171,"CBAK Energy Technology, Inc.",2025-09-24,8-K,0001213900-25-090854,A,8k-text:merger:3;via-primary
0001117480,CHIMERIX INC,2025-03-05,8-K,0001104659-25-020599,A,8k-text:merger:4;target:3;acquirer:1;via-primary
0001117480,CHIMERIX INC,2025-04-21,8-K,0001193125-25-087237,A,8k-text:merger:4;target:3;acquirer:1;via-primary
0001126234,"LUMOS PHARMA, INC.",2024-10-23,8-K,0001140361-24-043979,A,8k-text:merger:3;target:2;acquirer:1;defence:1;via-primary
0001126234,"LUMOS PHARMA, INC.",2024-12-12,8-K,0001193125-24-276512,A,8k-text:merger:4;target:3;acquirer:1;defence:1;via-primary
0001130598,"Traws Pharma, Inc.",2024-04-04,8-K,0001104659-24-043233,A,8k-text:merger:3;target:1;acquirer:2;defence:1;nonmerger:2;via-primary
0001136352,Crestwood Equity Partners LP,2023-08-16,8-K,0001193125-23-214378,A,8k-text:merger:3;via-primary
0001137547,UNITED SECURITY BANCSHARES,2025-12-17,8-K,0001137547-25-000130,A,8k-text:merger:3;via-primary
0001137547,UNITED SECURITY BANCSHARES,2026-04-01,8-K,0001628280-26-022619,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001158463,JETBLUE AIRWAYS CORP,2022-05-16,SC TO-T,0001193125-22-150775,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001158463,JETBLUE AIRWAYS CORP,2022-07-28,8-K,0001193125-22-204208,A,8k-text:merger:3;via-primary
0001158463,JETBLUE AIRWAYS CORP,2024-03-04,8-K,0001158463-24-000010,A,8k-text:merger:3;via-primary
0001162896,Prairie Operating Co.,2022-10-25,8-K,0001493152-22-029494,A,8k-text:merger:3;target:2;acquirer:3;nonmerger:1;via-primary
0001162896,Prairie Operating Co.,2023-05-04,8-K,0001493152-23-015356,A,8k-text:merger:3;target:1;acquirer:1;defence:1;nonmerger:1;via-primary
0001162896,Prairie Operating Co.,2023-05-09,8-K,0001493152-23-015999,A,8k-text:merger:3;target:1;acquirer:2;defence:1;nonmerger:2;via-primary
0001169770,"BANC OF CALIFORNIA, INC.",2021-10-19,8-K,0001169770-21-000031,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001175535,Whitestone REIT,2026-07-14,8-K,0001193125-26-303327,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:2;via-primary
0001176334,MARTIN MIDSTREAM PARTNERS L.P.,2024-10-03,8-K,0001176334-24-000123,A,8k-text:merger:3;via-primary
0001178697,SONIM TECHNOLOGIES INC,2022-04-14,8-K,0001193125-22-104993,A,8k-text:merger:1;target:1;acquirer:1;defence:1;via-primary
0001178711,"Paratek Pharmaceuticals, Inc.",2023-06-07,8-K,0001193125-23-162024,A,8k-text:merger:3;target:3;acquirer:1;defence:1;nonmerger:1;via-primary
0001178711,"Paratek Pharmaceuticals, Inc.",2023-09-21,8-K,0001193125-23-239185,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:5;via-primary
0001178879,"AMICUS THERAPEUTICS, INC.",2025-12-19,8-K,0001140361-25-046134,A,8k-text:merger:3;target:3;acquirer:1;via-primary
0001195734,POTBELLY CORP,2025-09-10,8-K,0001193125-25-199704,A,8k-text:merger:4;target:4;acquirer:1;via-primary
0001195734,POTBELLY CORP,2025-10-23,8-K,0001193125-25-248610,A,8k-text:merger:4;target:2;acquirer:2;nonmerger:2;via-primary
0001219601,CROWN HOLDINGS INC,2022-11-07,8-K,0001193125-22-278631,A,8k-text:merger:1;target:1;acquirer:1;defence:3;via-primary
0001223026,"PIONEER MUNICIPAL HIGH INCOME FUND, INC.",2021-04-21,8-K,0001193125-21-124958,A,8k-text:merger:3;via-primary
0001227500,EQUITY BANCSHARES INC,2021-05-17,8-K,0001193125-21-162718,A,8k-text:merger:1;target:1;acquirer:1;via-primary
0001227500,EQUITY BANCSHARES INC,2023-12-06,8-K,0001193125-23-289533,A,8k-text:merger:2;target:1;acquirer:1;via-primary
0001227500,EQUITY BANCSHARES INC,2024-04-22,8-K,0000950170-24-046476,A,8k-text:merger:2;target:1;acquirer:1;via-primary
0001227500,EQUITY BANCSHARES INC,2025-04-03,8-K,0001193125-25-071450,A,8k-text:merger:1;target:1;acquirer:1;via-primary
0001227500,EQUITY BANCSHARES INC,2025-09-02,8-K,0001193125-25-193355,A,8k-text:merger:1;target:1;acquirer:1;via-primary
0001236275,"SilverSun Technologies, Inc.",2023-03-15,8-K,0001185185-23-000208,A,8k-text:merger:3;via-primary
0001236275,"SilverSun Technologies, Inc.",2023-07-12,8-K,0001213900-23-056451,A,8k-text:merger:3;via-primary
0001236275,"SilverSun Technologies, Inc.",2023-09-08,8-K,0001213900-23-075468,A,8k-text:merger:3;via-primary
0001236275,"SilverSun Technologies, Inc.",2025-01-27,SC TO-T,0001140361-25-001940,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001236275,"SilverSun Technologies, Inc.",2025-03-20,8-K,0001140361-25-009591,A,8k-text:merger:4;via-primary
0001236275,"SilverSun Technologies, Inc.",2026-02-11,8-K,0001104659-26-012932,A,8k-text:merger:3;via-primary
0001236275,"SilverSun Technologies, Inc.",2026-04-01,8-K,0000950142-26-000982,A,8k-text:merger:3;via-primary
0001236275,"SilverSun Technologies, Inc.",2026-04-20,8-K,0001104659-26-045111,A,8k-text:merger:3;via-primary
0001253176,VAPOTHERM INC,2024-06-20,8-K,0001437749-24-020688,A,8k-text:merger:4;target:2;acquirer:1;nonmerger:1;via-primary
0001253176,VAPOTHERM INC,2024-09-20,8-K,0001437749-24-029654,A,8k-text:merger:3;target:3;acquirer:1;via-primary
0001253689,GLYCOMIMETICS INC,2025-04-29,8-K,0001104659-25-040386,A,8k-text:merger:3;via-primary
0001258943,"PIONEER MUNICIPAL HIGH INCOME ADVANTAGE FUND, INC.",2021-04-21,8-K,0001193125-21-124958,A,8k-text:merger:3;via-primary
0001263364,Idaho Copper Corp,2021-01-07,8-K,0001213900-21-000839,A,8k-text:merger:1;via-primary
0001265521,Trustfeed Corp.,2025-10-14,8-K,0001493152-25-018022,A,8k-text:merger:3;via-primary
0001266806,"Vivani Medical, Inc.",2022-06-21,8-K,0001753926-22-000879,A,8k-text:merger:3;via-primary
0001266806,"Vivani Medical, Inc.",2026-07-07,8-K,0001753926-26-001144,A,8k-text:merger:3;via-primary
0001267602,ALIMERA SCIENCES INC,2024-06-24,8-K,0001104659-24-074128,A,8k-text:merger:3;target:1;acquirer:1;defence:1;via-primary
0001267602,ALIMERA SCIENCES INC,2024-09-16,8-K,0001104659-24-100189,A,8k-text:merger:3;target:2;acquirer:1;defence:1;via-primary
0001273636,APPLIED GENETIC TECHNOLOGIES CORP,2022-10-24,8-K,0001193125-22-267229,A,8k-text:merger:4;target:4;acquirer:2;defence:1;via-primary
0001277250,"Charge Enterprises, Inc.",2022-01-20,8-K,0001654954-22-000670,A,8k-text:merger:2;via-primary
0001283140,HOLLY ENERGY PARTNERS LP,2021-08-03,8-K,0001193125-21-233933,A,8k-text:merger:1;target:1;acquirer:1;via-primary
0001287808,"Hill International, Inc.",2022-08-17,8-K,0001104659-22-092209,A,8k-text:merger:4;target:3;acquirer:1;via-primary
0001303942,BankFinancial CORP,2025-08-11,8-K,0001437749-25-025934,A,8k-text:merger:3;via-primary
0001305168,"ARC DOCUMENT SOLUTIONS, INC.",2024-09-11,8-K,0001140361-24-040783,A,8k-text:merger:3;via-primary
0001318885,DIANA SHIPPING INC.,2026-05-04,SC TO-T,0001104659-26-054931,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001321834,"MyMD Pharmaceuticals, Inc.",2021-04-22,8-K,0001493152-21-009411,A,8k-text:merger:3;target:1;acquirer:2;nonmerger:1;via-primary
0001321834,"MyMD Pharmaceuticals, Inc.",2024-03-07,8-K,0001493152-24-009220,A,8k-text:merger:2;via-primary
0001325702,MAGNACHIP SEMICONDUCTOR Corp,2021-03-29,8-K,0001193125-21-097514,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001325702,MAGNACHIP SEMICONDUCTOR Corp,2021-06-14,8-K,0001193125-21-189259,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001325702,MAGNACHIP SEMICONDUCTOR Corp,2021-12-14,8-K,0001193125-21-355865,A,8k-text:merger:3;target:1;acquirer:2;defence:1;nonmerger:1;via-primary
0001335112,"LOGIQ, INC.",2021-06-30,8-K,0001213900-21-035056,A,8k-text:merger:3;via-primary
0001335112,"LOGIQ, INC.",2023-05-02,8-K,0001575872-23-000663,A,8k-text:merger:3;via-primary
0001335112,"LOGIQ, INC.",2023-07-25,8-K,0001575872-23-001213,A,8k-text:merger:3;via-primary
0001335112,"LOGIQ, INC.",2023-09-01,8-K,0001575872-23-001392,A,8k-text:merger:3;via-primary
0001335112,"LOGIQ, INC.",2023-11-03,8-K,0001575872-23-001693,A,8k-text:merger:1;via-primary
0001337619,"ENVESTNET, INC.",2024-07-11,8-K,0001213900-24-060651,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001340243,MorphoSys AG,2021-06-02,SC TO-C,0001193125-21-180060,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001340243,MorphoSys AG,2021-06-16,SC TO-T,0001193125-21-192197,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001342958,"DIGITAL ALLY, INC.",2024-09-04,8-K,0001493152-24-035020,A,8k-text:merger:3;via-primary
0001342958,"DIGITAL ALLY, INC.",2024-09-27,8-K,0001493152-24-038531,A,8k-text:merger:1;via-primary
0001348911,"KalVista Pharmaceuticals, Inc.",2026-06-11,8-K,0001140361-26-024949,A,8k-text:merger:4;target:3;acquirer:1;nonmerger:4;via-primary
